"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.604583300E-2,1.898624260E1,-9.819580300E1,2.136674561E3,2.130700195E3,NaN,NaN,6.718670415E-3,1.000000000E2,1.000000000E2,-1.000000000E0
3.274301613E0,1.898618752E1,-9.819577673E1,2.131871534E3,2.125897217E3,0.000000000E0,NaN,9.630789030E-3,1.645242691E1,3.078938675E1,5.000000000E0
4.274378957E0,1.898621368E1,-9.819577542E1,2.132036319E3,2.126062012E3,0.000000000E0,NaN,1.370598895E-2,9.247359276E0,1.955715942E1,1.000000000E1
5.274175519E0,1.898623793E1,-9.819574636E1,2.127527697E3,2.121553467E3,0.000000000E0,NaN,2.479888440E-2,8.828775406E0,1.902691078E1,1.100000000E1
6.274093331E0,1.898619744E1,-9.819564994E1,2.111746469E3,2.105772461E3,1.899999976E-1,1.481000061E2,2.678650983E-2,6.533015251E0,1.227531338E1,1.200000000E1
7.274402237E0,1.898621328E1,-9.819565870E1,2.113304592E3,2.107330566E3,0.000000000E0,NaN,2.771790228E-2,4.358357430E0,8.244696617E0,1.600000000E1
8.273893278E0,1.898621547E1,-9.819566725E1,2.114339768E3,2.108365723E3,0.000000000E0,NaN,2.831079893E-2,4.080995560E0,7.110609531E0,1.300000000E1
9.274272028E0,1.898622048E1,-9.819566532E1,2.116496256E3,2.110522217E3,0.000000000E0,NaN,3.005603611E-2,3.790881634E0,5.999281406E0,1.300000000E1
1.027395646E1,1.898623105E1,-9.819567759E1,2.119051459E3,2.113077393E3,0.000000000E0,NaN,3.100113561E-2,3.942662716E0,5.904780388E0,1.500000000E1
1.127480677E1,1.898623731E1,-9.819568367E1,2.120039021E3,2.114064941E3,0.000000000E0,NaN,3.139428094E-2,3.790092468E0,5.181460381E0,1.700000000E1
1.227447958E1,1.898623920E1,-9.819568683E1,2.120286586E3,2.114312500E3,0.000000000E0,NaN,3.210175869E-2,3.790092468E0,4.958918095E0,1.900000000E1
1.327437093E1,1.898624447E1,-9.819569060E1,2.121407932E3,2.115433838E3,0.000000000E0,NaN,3.257556997E-2,3.790092468E0,5.031071186E0,1.900000000E1
1.427387671E1,1.898624069E1,-9.819568852E1,2.121101043E3,2.115126953E3,0.000000000E0,NaN,3.308988903E-2,3.790092468E0,4.652719498E0,2.000000000E1
1.527456411E1,1.898624502E1,-9.819569024E1,2.121610568E3,2.115636475E3,0.000000000E0,NaN,3.413087191E-2,3.790092468E0,4.496371746E0,2.100000000E1
1.627432536E1,1.898624940E1,-9.819569899E1,2.125241935E3,2.119267822E3,0.000000000E0,NaN,3.442424558E-2,3.790092468E0,3.784668684E0,2.200000000E1
1.727387911E1,1.898625147E1,-9.819570072E1,2.126489009E3,2.120514893E3,0.000000000E0,NaN,3.503657542E-2,3.790092468E0,3.600367785E0,2.300000000E1
1.827378395E1,1.898625689E1,-9.819570175E1,2.127476315E3,2.121502197E3,0.000000000E0,NaN,3.628298716E-2,3.790092468E0,3.549223185E0,2.400000000E1
1.927466145E1,1.898626805E1,-9.819570064E1,2.128711905E3,2.122737793E3,0.000000000E0,NaN,3.702242338E-2,3.790092468E0,3.178215742E0,2.300000000E1
2.027458046E1,1.898626878E1,-9.819570763E1,2.130545418E3,2.124571289E3,0.000000000E0,NaN,3.725487959E-2,3.790092468E0,2.731669903E0,2.400000000E1
2.127414421E1,1.898626765E1,-9.819570949E1,2.131087171E3,2.125113037E3,0.000000000E0,NaN,3.758315995E-2,3.790092468E0,2.573046446E0,2.500000000E1
